item_id,order_id,product_id,quantity,unit_price,cost_price,discount
ITM-000001,ORD-00001,PROD-024,2,36000,18000,0.0
ITM-000002,ORD-00001,PROD-003,2,350000,210000,0.0
ITM-000003,ORD-00002,PROD-018,1,95000,48000,0.05
ITM-000004,ORD-00002,PROD-003,1,350000,210000,0.1
ITM-000005,ORD-00003,PROD-006,1,35000,15000,0.0
ITM-000006,ORD-00004,PROD-024,1,36000,18000,0.0
ITM-000007,ORD-00005,PROD-015,1,135000,70000,0.0
ITM-000008,ORD-00005,PROD-005,1,1800000,1350000,0.0
ITM-000009,ORD-00006,PROD-024,2,36000,18000,0.05
ITM-000010,ORD-00007,PROD-025,1,95000,50000,0.05
ITM-000011,ORD-00007,PROD-008,2,280000,175000,0.1
ITM-000012,ORD-00007,PROD-002,2,450000,280000,0.05
ITM-000013,ORD-00007,PROD-023,1,45000,20000,0.0
ITM-000014,ORD-00008,PROD-014,3,185000,100000,0.0
ITM-000015,ORD-00008,PROD-008,1,280000,175000,0.15
ITM-000016,ORD-00009,PROD-010,1,85000,45000,0.0
ITM-000017,ORD-00009,PROD-023,1,45000,20000,0.05
ITM-000018,ORD-00010,PROD-004,1,120000,70000,0.0
ITM-000019,ORD-00011,PROD-023,1,45000,20000,0.0
ITM-000020,ORD-00012,PROD-003,1,350000,210000,0.05
ITM-000021,ORD-00012,PROD-007,1,200000,120000,0.0
ITM-000022,ORD-00013,PROD-018,1,95000,48000,0.05
ITM-000023,ORD-00014,PROD-012,2,165000,90000,0.1
ITM-000024,ORD-00014,PROD-019,2,110000,60000,0.0
ITM-000025,ORD-00015,PROD-008,1,280000,175000,0.0
ITM-000026,ORD-00016,PROD-021,1,85000,42000,0.15
ITM-000027,ORD-00016,PROD-002,3,450000,280000,0.1
ITM-000028,ORD-00017,PROD-018,1,95000,48000,0.15
ITM-000029,ORD-00017,PROD-014,1,185000,100000,0.0
ITM-000030,ORD-00018,PROD-025,2,95000,50000,0.15
ITM-000031,ORD-00018,PROD-015,1,135000,70000,0.0
ITM-000032,ORD-00019,PROD-018,2,95000,48000,0.0
ITM-000033,ORD-00019,PROD-015,1,135000,70000,0.1
ITM-000034,ORD-00019,PROD-012,1,165000,90000,0.0
ITM-000035,ORD-00020,PROD-018,2,95000,48000,0.1
ITM-000036,ORD-00021,PROD-001,1,150000,95000,0.0
ITM-000037,ORD-00022,PROD-017,1,50000,22000,0.0
ITM-000038,ORD-00022,PROD-019,1,110000,60000,0.0
ITM-000039,ORD-00023,PROD-014,1,185000,100000,0.0
ITM-000040,ORD-00024,PROD-010,1,85000,45000,0.0
ITM-000041,ORD-00025,PROD-013,2,220000,125000,0.2
ITM-000042,ORD-00025,PROD-005,2,1800000,1350000,0.1
ITM-000043,ORD-00026,PROD-009,2,250000,140000,0.1
ITM-000044,ORD-00027,PROD-013,5,220000,125000,0.05
ITM-000045,ORD-00027,PROD-025,1,95000,50000,0.0
ITM-000046,ORD-00028,PROD-022,1,125000,68000,0.0
ITM-000047,ORD-00029,PROD-003,1,350000,210000,0.0
ITM-000048,ORD-00029,PROD-011,2,75000,35000,0.0
ITM-000049,ORD-00029,PROD-015,2,135000,70000,0.0
ITM-000050,ORD-00030,PROD-010,2,85000,45000,0.0
ITM-000051,ORD-00030,PROD-017,1,50000,22000,0.1
ITM-000052,ORD-00031,PROD-016,1,175000,95000,0.2
ITM-000053,ORD-00032,PROD-010,1,85000,45000,0.0
ITM-000054,ORD-00032,PROD-005,1,1800000,1350000,0.0
ITM-000055,ORD-00033,PROD-021,5,85000,42000,0.0
ITM-000056,ORD-00033,PROD-019,2,110000,60000,0.0
ITM-000057,ORD-00034,PROD-011,2,75000,35000,0.0
ITM-000058,ORD-00034,PROD-012,3,165000,90000,0.05
ITM-000059,ORD-00034,PROD-006,1,35000,15000,0.0
ITM-000060,ORD-00035,PROD-021,3,85000,42000,0.15
ITM-000061,ORD-00036,PROD-007,3,200000,120000,0.1
ITM-000062,ORD-00037,PROD-019,3,110000,60000,0.05
ITM-000063,ORD-00038,PROD-015,1,135000,70000,0.0
ITM-000064,ORD-00038,PROD-001,1,150000,95000,0.05
ITM-000065,ORD-00038,PROD-012,5,165000,90000,0.05
ITM-000066,ORD-00039,PROD-021,1,85000,42000,0.0
ITM-000067,ORD-00039,PROD-017,1,50000,22000,0.1
ITM-000068,ORD-00040,PROD-009,1,250000,140000,0.1
ITM-000069,ORD-00041,PROD-007,3,200000,120000,0.05
ITM-000070,ORD-00041,PROD-018,1,95000,48000,0.0
ITM-000071,ORD-00042,PROD-022,1,125000,68000,0.0
ITM-000072,ORD-00043,PROD-002,1,450000,280000,0.0
ITM-000073,ORD-00043,PROD-005,1,1800000,1350000,0.0
ITM-000074,ORD-00044,PROD-011,2,75000,35000,0.0
ITM-000075,ORD-00044,PROD-005,3,1800000,1350000,0.0
ITM-000076,ORD-00045,PROD-021,1,85000,42000,0.2
ITM-000077,ORD-00045,PROD-013,1,220000,125000,0.0
ITM-000078,ORD-00045,PROD-012,2,165000,90000,0.05
ITM-000079,ORD-00046,PROD-020,1,65000,32000,0.0
ITM-000080,ORD-00046,PROD-014,1,185000,100000,0.0
ITM-000081,ORD-00047,PROD-016,1,175000,95000,0.0
ITM-000082,ORD-00047,PROD-009,1,250000,140000,0.0
ITM-000083,ORD-00048,PROD-009,1,250000,140000,0.0
ITM-000084,ORD-00048,PROD-018,2,95000,48000,0.05
ITM-000085,ORD-00049,PROD-008,1,280000,175000,0.0
ITM-000086,ORD-00050,PROD-001,2,150000,95000,0.0
ITM-000087,ORD-00050,PROD-003,1,350000,210000,0.05
ITM-000088,ORD-00051,PROD-024,1,36000,18000,0.05
ITM-000089,ORD-00051,PROD-006,5,35000,15000,0.0
ITM-000090,ORD-00051,PROD-007,5,200000,120000,0.0
ITM-000091,ORD-00051,PROD-021,3,85000,42000,0.05
ITM-000092,ORD-00052,PROD-024,1,36000,18000,0.0
ITM-000093,ORD-00052,PROD-016,1,175000,95000,0.0
ITM-000094,ORD-00052,PROD-021,1,85000,42000,0.0
ITM-000095,ORD-00053,PROD-001,1,150000,95000,0.05
ITM-000096,ORD-00054,PROD-001,1,150000,95000,0.05
ITM-000097,ORD-00054,PROD-018,2,95000,48000,0.0
ITM-000098,ORD-00054,PROD-008,1,280000,175000,0.0
ITM-000099,ORD-00055,PROD-016,2,175000,95000,0.0
ITM-000100,ORD-00056,PROD-017,1,50000,22000,0.0
ITM-000101,ORD-00057,PROD-012,1,165000,90000,0.0
ITM-000102,ORD-00057,PROD-014,1,185000,100000,0.0
ITM-000103,ORD-00058,PROD-015,1,135000,70000,0.0
ITM-000104,ORD-00058,PROD-004,5,120000,70000,0.0
ITM-000105,ORD-00058,PROD-025,2,95000,50000,0.0
ITM-000106,ORD-00059,PROD-014,2,185000,100000,0.0
ITM-000107,ORD-00060,PROD-010,3,85000,45000,0.0
ITM-000108,ORD-00060,PROD-015,5,135000,70000,0.1
ITM-000109,ORD-00060,PROD-019,1,110000,60000,0.15
ITM-000110,ORD-00061,PROD-025,1,95000,50000,0.0
ITM-000111,ORD-00062,PROD-007,1,200000,120000,0.0
ITM-000112,ORD-00062,PROD-001,1,150000,95000,0.0
ITM-000113,ORD-00062,PROD-019,1,110000,60000,0.05
ITM-000114,ORD-00063,PROD-024,2,36000,18000,0.05
ITM-000115,ORD-00064,PROD-003,1,350000,210000,0.0
ITM-000116,ORD-00065,PROD-014,1,185000,100000,0.0
ITM-000117,ORD-00065,PROD-017,3,50000,22000,0.0
ITM-000118,ORD-00065,PROD-022,2,125000,68000,0.1
ITM-000119,ORD-00066,PROD-021,1,85000,42000,0.0
ITM-000120,ORD-00067,PROD-022,5,125000,68000,0.0
ITM-000121,ORD-00067,PROD-013,3,220000,125000,0.0
ITM-000122,ORD-00068,PROD-005,1,1800000,1350000,0.2
ITM-000123,ORD-00069,PROD-003,2,350000,210000,0.0
ITM-000124,ORD-00069,PROD-001,5,150000,95000,0.0
ITM-000125,ORD-00069,PROD-016,1,175000,95000,0.0
ITM-000126,ORD-00070,PROD-014,2,185000,100000,0.1
ITM-000127,ORD-00070,PROD-011,2,75000,35000,0.05
ITM-000128,ORD-00071,PROD-018,1,95000,48000,0.05
ITM-000129,ORD-00071,PROD-001,1,150000,95000,0.0
ITM-000130,ORD-00072,PROD-009,1,250000,140000,0.0
ITM-000131,ORD-00073,PROD-008,2,280000,175000,0.0
ITM-000132,ORD-00073,PROD-015,1,135000,70000,0.0
ITM-000133,ORD-00074,PROD-009,1,250000,140000,0.15
ITM-000134,ORD-00075,PROD-015,2,135000,70000,0.0
ITM-000135,ORD-00076,PROD-025,1,95000,50000,0.15
ITM-000136,ORD-00076,PROD-023,5,45000,20000,0.0
ITM-000137,ORD-00077,PROD-003,1,350000,210000,0.1
ITM-000138,ORD-00078,PROD-012,2,165000,90000,0.0
ITM-000139,ORD-00079,PROD-021,3,85000,42000,0.0
ITM-000140,ORD-00079,PROD-002,1,450000,280000,0.0
ITM-000141,ORD-00079,PROD-013,1,220000,125000,0.05
ITM-000142,ORD-00080,PROD-012,1,165000,90000,0.1
ITM-000143,ORD-00081,PROD-023,1,45000,20000,0.0
ITM-000144,ORD-00082,PROD-007,1,200000,120000,0.0
