order_id,order_date,customer_id,ship_mode,status,payment_method
ORD-00001,2025-08-29 15:28:00,CUST-0175,Standard Class,Completed,E-Wallet
ORD-00002,2026-05-10 08:16:00,CUST-0245,Second Class,Completed,Transfer Bank
ORD-00003,2026-02-25 09:25:00,CUST-0252,Second Class,Completed,Transfer Bank
ORD-00004,2025-10-23 18:43:00,CUST-0028,Standard Class,Completed,E-Wallet
ORD-00005,2025-03-18 20:36:00,CUST-0156,Second Class,Completed,Transfer Bank
ORD-00006,2025-05-08 09:35:00,CUST-0214,Second Class,Completed,E-Wallet
ORD-00007,2026-02-02 16:24:00,CUST-0231,Standard Class,Completed,COD
ORD-00008,2025-06-02 21:37:00,CUST-0220,Standard Class,Completed,Credit Card
ORD-00009,2025-10-19 17:03:00,CUST-0051,First Class,Completed,E-Wallet
ORD-00010,2025-11-17 11:16:00,CUST-0042,Standard Class,Returned,E-Wallet
ORD-00011,2025-05-03 10:35:00,CUST-0039,Standard Class,Completed,E-Wallet
ORD-00012,2025-01-02 14:28:00,CUST-0241,Standard Class,Completed,Credit Card
ORD-00013,2025-01-17 11:18:00,CUST-0145,Standard Class,Completed,COD
ORD-00014,2025-02-06 18:14:00,CUST-0136,Standard Class,Completed,E-Wallet
ORD-00015,2025-08-06 09:34:00,CUST-0116,First Class,Completed,E-Wallet
ORD-00016,2026-04-11 12:52:00,CUST-0073,Standard Class,Completed,Transfer Bank
ORD-00017,2025-01-31 10:50:00,CUST-0158,Standard Class,Completed,Credit Card
ORD-00018,2025-08-13 09:29:00,CUST-0156,Standard Class,Completed,COD
ORD-00019,2026-04-28 12:32:00,CUST-0277,Second Class,Completed,COD
ORD-00020,2025-08-13 09:38:00,CUST-0021,First Class,Completed,COD
ORD-00021,2026-01-12 13:38:00,CUST-0129,Standard Class,Completed,Transfer Bank
ORD-00022,2025-02-16 11:43:00,CUST-0295,First Class,Completed,Transfer Bank
ORD-00023,2026-01-27 18:52:00,CUST-0138,First Class,Completed,Transfer Bank
ORD-00024,2026-01-26 20:11:00,CUST-0241,Standard Class,Completed,COD
ORD-00025,2026-04-15 12:11:00,CUST-0300,Standard Class,Completed,COD
ORD-00026,2025-11-22 21:31:00,CUST-0047,Standard Class,Completed,COD
ORD-00027,2025-06-28 14:21:00,CUST-0165,Standard Class,Completed,Transfer Bank
ORD-00028,2026-03-16 10:21:00,CUST-0211,Same Day,Completed,COD
ORD-00029,2025-05-28 18:25:00,CUST-0282,Second Class,Completed,Transfer Bank
ORD-00030,2025-08-21 09:20:00,CUST-0130,First Class,Completed,Credit Card
ORD-00031,2025-03-01 20:25:00,CUST-0264,Second Class,Completed,Transfer Bank
ORD-00032,2025-12-03 21:34:00,CUST-0237,First Class,Completed,COD
ORD-00033,2025-01-28 11:33:00,CUST-0186,Second Class,Completed,COD
ORD-00034,2025-11-17 15:48:00,CUST-0027,Standard Class,Completed,E-Wallet
ORD-00035,2025-05-17 16:08:00,CUST-0148,First Class,Cancelled,COD
ORD-00036,2026-03-27 19:31:00,CUST-0063,Same Day,Completed,Transfer Bank
ORD-00037,2026-05-14 18:38:00,CUST-0123,Second Class,Completed,E-Wallet
ORD-00038,2025-06-09 16:00:00,CUST-0283,Second Class,Completed,COD
ORD-00039,2025-02-17 11:53:00,CUST-0059,Standard Class,Completed,COD
ORD-00040,2026-04-30 09:41:00,CUST-0079,Same Day,Completed,COD
ORD-00041,2026-04-23 19:18:00,CUST-0261,Standard Class,Completed,Credit Card
ORD-00042,2025-08-01 21:30:00,CUST-0242,Standard Class,Completed,E-Wallet
ORD-00043,2025-08-22 16:09:00,CUST-0197,Second Class,Completed,E-Wallet
ORD-00044,2026-04-17 17:32:00,CUST-0070,Standard Class,Completed,Transfer Bank
ORD-00045,2025-05-22 20:50:00,CUST-0213,Standard Class,Completed,Credit Card
ORD-00046,2026-04-24 20:32:00,CUST-0137,Standard Class,Completed,Transfer Bank
ORD-00047,2025-05-25 19:19:00,CUST-0297,Second Class,Completed,COD
ORD-00048,2026-03-20 10:28:00,CUST-0276,Second Class,Completed,COD
ORD-00049,2025-06-26 13:35:00,CUST-0279,Standard Class,Completed,COD
ORD-00050,2025-08-22 13:55:00,CUST-0097,Standard Class,Completed,E-Wallet
ORD-00051,2025-10-20 14:14:00,CUST-0211,Standard Class,Completed,Transfer Bank
ORD-00052,2025-06-12 19:30:00,CUST-0196,Second Class,Completed,COD
ORD-00053,2025-12-06 20:52:00,CUST-0078,Standard Class,Completed,COD
ORD-00054,2026-05-09 08:08:00,CUST-0258,Second Class,Completed,Credit Card
ORD-00055,2026-03-22 09:55:00,CUST-0226,Standard Class,Completed,Transfer Bank
ORD-00056,2025-09-27 15:00:00,CUST-0074,First Class,Completed,COD
ORD-00057,2026-03-22 18:09:00,CUST-0039,Second Class,Completed,COD
ORD-00058,2026-02-05 12:21:00,CUST-0204,Second Class,Completed,Transfer Bank
ORD-00059,2026-03-13 13:54:00,CUST-0274,Standard Class,Completed,COD
ORD-00060,2026-05-04 13:40:00,CUST-0250,Second Class,Completed,Transfer Bank
ORD-00061,2025-11-13 09:15:00,CUST-0148,Standard Class,Completed,E-Wallet
ORD-00062,2026-01-18 09:27:00,CUST-0051,Second Class,Completed,Transfer Bank
ORD-00063,2025-08-16 10:44:00,CUST-0154,Second Class,Completed,Transfer Bank
ORD-00064,2025-01-24 13:50:00,CUST-0029,Standard Class,Completed,Credit Card
ORD-00065,2025-07-03 13:27:00,CUST-0075,Standard Class,Completed,E-Wallet
ORD-00066,2025-09-29 14:36:00,CUST-0093,Standard Class,Completed,E-Wallet
ORD-00067,2025-03-31 09:39:00,CUST-0196,Standard Class,Completed,E-Wallet
ORD-00068,2025-09-12 17:09:00,CUST-0119,Standard Class,Completed,COD
ORD-00069,2025-11-23 12:29:00,CUST-0131,Second Class,Completed,Transfer Bank
ORD-00070,2026-04-06 20:29:00,CUST-0148,Standard Class,Completed,E-Wallet
ORD-00071,2025-02-07 15:22:00,CUST-0154,Standard Class,Completed,COD
ORD-00072,2025-12-20 12:29:00,CUST-0155,Standard Class,Completed,E-Wallet
ORD-00073,2025-07-16 21:30:00,CUST-0055,Standard Class,Completed,E-Wallet
ORD-00074,2025-07-15 17:22:00,CUST-0295,Standard Class,Completed,Credit Card
ORD-00075,2025-12-25 12:01:00,CUST-0203,First Class,Completed,Credit Card
ORD-00076,2025-01-05 17:55:00,CUST-0026,Standard Class,Completed,COD
ORD-00077,2026-03-03 12:49:00,CUST-0118,Standard Class,Completed,Credit Card
ORD-00078,2025-04-23 18:12:00,CUST-0129,Standard Class,Completed,E-Wallet
ORD-00079,2025-11-18 09:57:00,CUST-0021,Standard Class,Completed,Credit Card
ORD-00080,2026-02-08 15:02:00,CUST-0297,Standard Class,Completed,Credit Card
ORD-00081,2026-01-10 10:05:00,CUST-0152,Standard Class,Completed,Credit Card
ORD-00082,2026-01-18 14:11:00,CUST-0103,Standard Class,Completed,E-Wallet
ORD-00083,2026-02-07 16:56:00,CUST-0188,Standard Class,Completed,Credit Card
ORD-00084,2026-03-02 10:16:00,CUST-0247,Standard Class,Completed,Credit Card
ORD-00085,2026-01-18 21:21:00,CUST-0059,Standard Class,Completed,COD
ORD-00086,2026-05-09 09:09:00,CUST-0116,First Class,Completed,COD
ORD-00087,2026-05-11 21:51:00,CUST-0286,Second Class,Completed,Credit Card
ORD-00088,2025-02-16 20:25:00,CUST-0008,Standard Class,Completed,Credit Card
ORD-00089,2025-10-02 09:29:00,CUST-0189,Standard Class,Completed,Credit Card
ORD-00090,2025-10-27 14:52:00,CUST-0191,Standard Class,Completed,Transfer Bank
ORD-00091,2025-12-12 11:30:00,CUST-0013,Standard Class,Completed,Credit Card
ORD-00092,2026-04-14 17:14:00,CUST-0033,Standard Class,Completed,COD
ORD-00093,2026-04-11 19:19:00,CUST-0210,Standard Class,Completed,Transfer Bank
ORD-00094,2025-03-13 08:02:00,CUST-0156,Standard Class,Completed,COD
ORD-00095,2025-03-01 09:15:00,CUST-0276,Second Class,Returned,E-Wallet
ORD-00096,2025-07-18 15:23:00,CUST-0277,Standard Class,Completed,COD
ORD-00097,2025-10-28 19:46:00,CUST-0080,First Class,Completed,COD
ORD-00098,2025-12-02 09:53:00,CUST-0251,Same Day,Completed,COD
ORD-00099,2026-04-26 12:02:00,CUST-0190,Standard Class,Completed,E-Wallet
ORD-00100,2025-08-16 15:15:00,CUST-0186,Standard Class,Completed,Transfer Bank
ORD-00101,2025-12-18 13:34:00,CUST-0184,Second Class,Completed,Transfer Bank
ORD-00102,2025-07-23 12:12:00,CUST-0063,First Class,Completed,COD
ORD-00103,2025-02-16 18:13:00,CUST-0011,Standard Class,Cancelled,Transfer Bank
ORD-00104,2026-02-07 13:15:00,CUST-0065,Standard Class,Completed,E-Wallet
ORD-00105,2025-02-05 21:48:00,CUST-0284,Second Class,Completed,E-Wallet
ORD-00106,2025-10-28 11:52:00,CUST-0120,Standard Class,Completed,Credit Card
ORD-00107,2026-02-01 10:50:00,CUST-0002,Standard Class,Completed,Credit Card
ORD-00108,2026-03-16 10:08:00,CUST-0277,Second Class,Completed,Credit Card
ORD-00109,2026-02-13 10:07:00,CUST-0014,Standard Class,Completed,E-Wallet
ORD-00110,2025-01-08 13:50:00,CUST-0122,Standard Class,Completed,Credit Card
ORD-00111,2025-01-09 10:16:00,CUST-0027,Standard Class,Completed,E-Wallet
ORD-00112,2026-01-15 14:33:00,CUST-0059,Second Class,Completed,Transfer Bank
ORD-00113,2025-09-01 15:49:00,CUST-0186,Standard Class,Cancelled,Transfer Bank
ORD-00114,2025-08-20 16:14:00,CUST-0023,Second Class,Completed,Credit Card
ORD-00115,2025-08-23 18:01:00,CUST-0032,First Class,Completed,COD
ORD-00116,2026-03-10 14:27:00,CUST-0056,Standard Class,Completed,COD
ORD-00117,2025-12-31 15:04:00,CUST-0042,Standard Class,Completed,Credit Card
ORD-00118,2025-11-08 10:04:00,CUST-0065,Second Class,Completed,Credit Card
ORD-00119,2025-11-16 18:37:00,CUST-0281,Standard Class,Completed,Credit Card
ORD-00120,2025-07-15 17:33:00,CUST-0151,First Class,Completed,COD
ORD-00121,2025-09-16 17:27:00,CUST-0051,Standard Class,Completed,Transfer Bank
ORD-00122,2026-03-13 18:41:00,CUST-0283,Second Class,Completed,E-Wallet
ORD-00123,2025-08-09 15:56:00,CUST-0117,Standard Class,Cancelled,COD
ORD-00124,2025-06-23 21:29:00,CUST-0205,Same Day,Completed,COD
ORD-00125,2026-01-09 09:20:00,CUST-0219,First Class,Completed,Credit Card
ORD-00126,2025-12-07 12:23:00,CUST-0079,Standard Class,Completed,COD
ORD-00127,2025-02-04 09:53:00,CUST-0044,Second Class,Completed,Transfer Bank
ORD-00128,2025-08-10 09:47:00,CUST-0191,First Class,Completed,E-Wallet
ORD-00129,2025-10-12 08:37:00,CUST-0288,Standard Class,Completed,Credit Card
ORD-00130,2025-12-10 09:26:00,CUST-0182,Second Class,Completed,COD
ORD-00131,2026-03-21 19:03:00,CUST-0148,Standard Class,Completed,Credit Card
ORD-00132,2025-06-30 09:36:00,CUST-0260,Standard Class,Returned,E-Wallet
ORD-00133,2025-03-21 18:30:00,CUST-0115,Second Class,Completed,Transfer Bank
ORD-00134,2025-06-29 21:35:00,CUST-0189,Second Class,Completed,Transfer Bank
ORD-00135,2026-01-26 12:36:00,CUST-0116,Second Class,Completed,COD
ORD-00136,2026-03-09 16:49:00,CUST-0286,Standard Class,Returned,Transfer Bank
ORD-00137,2025-11-08 18:53:00,CUST-0137,First Class,Completed,Transfer Bank
ORD-00138,2025-04-03 12:44:00,CUST-0159,Standard Class,Completed,Credit Card
ORD-00139,2025-06-29 08:11:00,CUST-0074,Standard Class,Completed,COD
ORD-00140,2025-02-05 10:47:00,CUST-0016,Standard Class,Returned,Transfer Bank
ORD-00141,2026-01-18 16:13:00,CUST-0193,Standard Class,Completed,COD
ORD-00142,2025-08-21 13:10:00,CUST-0190,First Class,Completed,Credit Card
ORD-00143,2026-01-05 13:49:00,CUST-0291,Second Class,Completed,Transfer Bank
ORD-00144,2026-03-29 08:09:00,CUST-0081,Standard Class,Completed,Transfer Bank
ORD-00145,2025-12-12 09:17:00,CUST-0227,First Class,Completed,COD
ORD-00146,2025-09-06 17:28:00,CUST-0213,Standard Class,Completed,Credit Card
ORD-00147,2025-04-21 20:32:00,CUST-0059,Second Class,Completed,Credit Card
ORD-00148,2025-08-09 09:18:00,CUST-0250,Standard Class,Completed,Credit Card
ORD-00149,2025-01-24 11:25:00,CUST-0029,Second Class,Completed,Transfer Bank
ORD-00150,2025-04-15 12:13:00,CUST-0071,Standard Class,Completed,Credit Card
ORD-00151,2025-05-29 13:07:00,CUST-0004,Standard Class,Completed,COD
ORD-00152,2026-01-18 14:11:00,CUST-0067,First Class,Completed,COD
ORD-00153,2025-09-30 19:14:00,CUST-0257,Second Class,Completed,Credit Card
ORD-00154,2025-02-06 14:55:00,CUST-0022,Standard Class,Completed,COD
ORD-00155,2025-01-10 15:58:00,CUST-0040,Second Class,Completed,Credit Card
ORD-00156,2025-10-22 14:36:00,CUST-0208,Standard Class,Completed,COD
ORD-00157,2025-05-29 09:25:00,CUST-0011,Second Class,Completed,Credit Card
ORD-00158,2025-03-29 20:39:00,CUST-0236,First Class,Completed,Credit Card
ORD-00159,2025-02-15 14:54:00,CUST-0055,Standard Class,Completed,E-Wallet
ORD-00160,2025-08-12 17:25:00,CUST-0269,First Class,Completed,Transfer Bank
ORD-00161,2025-07-22 21:19:00,CUST-0174,Standard Class,Completed,E-Wallet
ORD-00162,2025-06-20 20:10:00,CUST-0040,Second Class,Completed,Transfer Bank
ORD-00163,2025-09-29 16:12:00,CUST-0179,Second Class,Completed,Credit Card
ORD-00164,2026-01-08 21:41:00,CUST-0076,Standard Class,Completed,E-Wallet
ORD-00165,2025-02-22 10:16:00,CUST-0102,Standard Class,Completed,E-Wallet
ORD-00166,2025-11-05 10:48:00,CUST-0039,Standard Class,Completed,E-Wallet
ORD-00167,2026-05-03 20:40:00,CUST-0253,Second Class,Completed,COD
ORD-00168,2026-01-22 17:48:00,CUST-0297,Standard Class,Completed,COD
ORD-00169,2025-12-15 17:41:00,CUST-0166,First Class,Returned,Credit Card
ORD-00170,2025-03-19 15:04:00,CUST-0241,Standard Class,Completed,COD
ORD-00171,2025-11-20 12:50:00,CUST-0141,Standard Class,Completed,Transfer Bank
ORD-00172,2025-06-30 16:04:00,CUST-0159,Standard Class,Completed,COD
ORD-00173,2025-08-20 08:03:00,CUST-0189,Standard Class,Returned,Credit Card
ORD-00174,2025-02-09 18:55:00,CUST-0047,Standard Class,Completed,COD
ORD-00175,2025-08-25 17:35:00,CUST-0022,Standard Class,Completed,COD
ORD-00176,2026-04-11 20:36:00,CUST-0097,Standard Class,Completed,Credit Card
ORD-00177,2025-11-06 15:32:00,CUST-0078,Standard Class,Completed,Transfer Bank
ORD-00178,2025-08-19 09:51:00,CUST-0176,Standard Class,Completed,Transfer Bank
ORD-00179,2025-09-16 18:11:00,CUST-0021,Standard Class,Completed,E-Wallet
ORD-00180,2025-12-29 15:28:00,CUST-0269,Standard Class,Completed,E-Wallet
ORD-00181,2025-07-06 13:58:00,CUST-0145,First Class,Completed,COD
ORD-00182,2025-07-29 20:21:00,CUST-0027,Standard Class,Completed,Credit Card
ORD-00183,2025-02-03 13:06:00,CUST-0286,Second Class,Completed,COD
ORD-00184,2025-05-26 12:46:00,CUST-0077,Standard Class,Completed,Credit Card
ORD-00185,2025-02-11 17:42:00,CUST-0073,Second Class,Completed,Credit Card
ORD-00186,2025-06-08 18:44:00,CUST-0201,Standard Class,Completed,E-Wallet
ORD-00187,2025-11-01 19:05:00,CUST-0159,Same Day,Completed,COD
